date,url,title,summary,publishing date,id,new_id
28/1/2026,https://www.pv-magazine-india.com/2026/01/27/india-eu-fta-anchors-climate-and-trade-in-a-fracturing-global-order/,India and EU Conclude Free Trade Agreement Linking Climate Action and Commerce,"India and the European Union have finalized a comprehensive free trade agreement eliminating tariffs on 90 percent of goods, expected to double bilateral trade from €124 billion to €248 billion within five years while generating €4 billion in annual savings. The agreement positions India as a strategic economic partner for the EU amid geopolitical tensions and provides India protection against potential U.S. tariff escalation under a second Trump administration. Both parties framed the deal as part of a deliberate effort to establish a stable, rules-based alternative to market volatility and policy fragmentation in global trade.

The FTA is structured to embed climate cooperation alongside commercial terms. Existing frameworks including the Clean Energy and Climate Partnership and the EU-India Trade and Technology Council coordinate work on renewables, energy efficiency, and green hydrogen development. India has signaled ambitions to become a hydrogen exporter to Europe, targeting $10 billion in foreign direct investment for 10 gigawatts of electrolyser capacity by 2030. The agreement also acknowledges the EU's Carbon Border Adjustment Mechanism, a carbon tariff on imports, with both sides discussing alignment of monitoring, reporting, and verification standards to manage potential trade friction while advancing climate objectives.",1/27/26 16:02,1a,1
29/1/2026,https://www.energetica-india.net/news/indiaeu-fta-to-cut-non-tariff-barriers-add-cbam-flexibility-and-boost-clean-tech-ai-cooperation,India and EU Conclude Free Trade Agreement With CBAM Flexibilities and Clean Tech Cooperation,"India and the European Union have finalized a comprehensive Free Trade Agreement, announced by Prime Minister Narendra Modi and European Commission President Ursula von der Leyen at the 16th India–EU Summit. The accord addresses non-tariff barriers through regulatory cooperation and streamlined customs procedures, while incorporating provisions on the EU's Carbon Border Adjustment Mechanism that include technical cooperation, recognition of carbon pricing mechanisms, and financial support for emissions reduction. The agreement also establishes cooperation frameworks in artificial intelligence, clean technologies, and semiconductors.

The FTA represents a significant expansion of bilateral economic relations between two major global economic blocs that together account for 25 percent of global GDP and nearly one-third of global trade. More than 99 percent of Indian exports by value will receive preferential market access to the EU, with labor-intensive sectors including textiles, apparel, and engineering goods benefiting from tariff reductions up to 10 percent. The agreement encompasses ambitious commitments in services trade, a calibrated automobile liberalization package, and a mobility framework facilitating professional movement between the two regions.",1/27/26 11:05,36b,1
28/1/2026,https://africasustainabilitymatters.com/zambia-and-switzerland-launch-bilateral-climate-agreement-to-boost-carbon-market-cooperation/,Zambia And Switzerland Inaugurate Bilateral Climate Agreement Under Paris Article 6,"Zambia and Switzerland formally launched a bilateral climate agreement on January 22 designed to advance greenhouse gas mitigation through voluntary international carbon market cooperation under Article 6.2 of the Paris Agreement. The agreement, signed in November at COP30, establishes a framework for transferring Internationally Transferred Mitigation Outcomes between the two countries, enabling Switzerland to offset emissions through certified carbon credits while channeling private finance into Zambian mitigation projects.

The accord represents Zambia's third bilateral Article 6 agreement in two years and positions the country as an emerging player in global carbon markets. The KliK Foundation, a Swiss entity mandated under the CO₂ Act, will finance and purchase carbon credits from verified Zambian projects that reduce emissions beyond national climate targets. These initiatives aim to address Zambia's energy sector investment gap exceeding $2 billion while generating employment, enhancing community resilience, and supporting renewable energy deployment, reforestation, and sustainable agricultural practices in a country vulnerable to climate-induced droughts.",1/26/26 12:19,3a,
29/1/2026,https://www.qcintel.com/carbon/article/norway-zambia-sign-art-6-deal-through-gggi-payments-facility-57532.html,Norway and Zambia Execute Article 6 Agreement for Emissions Reduction Payments,"Norway and Zambia have finalized an agreement involving performance-based payments for emissions reductions connected to renewable electricity generation. The deal operates through the GGGI payments facility, establishing a mechanism to compensate verified emissions reduction outcomes.

This transaction represents implementation of Article 6 of the Paris Agreement, which enables international cooperation on emissions reductions through crediting mechanisms. The arrangement between the two nations demonstrates the use of financial instruments to support renewable energy development and climate mitigation activities in developing economies.",1/28/26 14:28,7b,
28/1/2026,https://theinvestor.vn/vingroup-enters-carbon-credit-market-for-electric-motorcycles-charging-stations-d18237.html,Vingroup Launches Carbon Credit Projects for Electric Motorcycles and Charging Stations,"Vingroup, Vietnam's largest private conglomerate, announced two carbon credit projects focused on electric transportation infrastructure. The V-Green charging station project is registered under Verra's Verified Carbon Standard and is projected to reduce 3.5 million tons of CO2 annually by 2029, when approximately 6,000 charging stations with 620,000 ports will be operational. The VinFast electric motorcycle project follows the Gold Standard for the Global Goals certification. At current voluntary carbon credit market prices of $4 to $6 per ton, the charging station project alone could generate $14 to $21 million in revenue for the company.

These initiatives align with Vietnam's broader decarbonization strategy and represent Vingroup's entry into the voluntary carbon credits market. The projects are currently in mandatory stakeholder consultation phases before formal registration. VinFast reported selling 406,453 electric motorcycles in Vietnam during 2025, representing a 473 percent increase from the previous year and securing the top market position. Vietnam plans to establish a national carbon market by 2029 as part of its commitment to achieving net-zero emissions by 2050.",1/27/26 10:43,6a,2
1/30/2026,https://vir.com.vn/vingroup-consults-on-carbon-credits-for-electric-vehicle-charging-network-145592.html,Vingroup Launches Carbon Credit Projects for Electric Vehicles and Charging Infrastructure,"Vingroup initiated a stakeholder consultation on January 26 for two carbon credit projects focused on electric motorcycles and charging stations. The charging infrastructure project alone is projected to reduce up to 3.5 million tonnes of CO₂ emissions annually, with Vingroup targeting approximately 6,000 charging stations and 620,000 ports by 2029. The motorcycle project operates under Gold Standard's GS4GG framework, while the charging station credits fall under Verra's Verified Carbon Standard, both internationally recognized verification schemes.
 
 The projects represent growing private-sector engagement in voluntary carbon markets within Vietnam. At current voluntary carbon credit prices of $4-6 per credit, Vingroup could generate $14-21 million in annual revenue from credit sales. Credits approved for the Carbon Offsetting and Reduction Scheme for International Aviation could trade at significantly higher prices around $20 each, with Verra's VCS standard confirmed as eligible for CORSIA compliance from 2027 to 2029. The electric motorcycle initiative is expected to run for five years with possible extensions, while similar smaller-scale projects by other companies have also registered under recognized standards.",1/28/2026 4:10,47c,2
28/1/2026,https://www.whalesbook.com/news/English/industrial-goodsservices/Indias-Green-Plans-Face-EU-Carbon-Tax-Headwinds/69784cd1657adf9c86c57a9f,India Releases Decarbonization Roadmaps For Cement And Aluminium Sectors,"Niti Aayog has unveiled decarbonization roadmaps for India's cement and aluminium sectors as the nation pursues its net-zero emission target by 2070. The cement sector aims to reduce carbon intensity from 0.63 to 0.09-0.13 tonnes of CO2 equivalent per tonne by 2070, while aluminium production is projected to increase sevenfold and tenfold respectively. Both roadmaps propose strategies including renewable energy adoption, fuel switching, carbon capture and storage deployment, and expanded carbon credit trading mechanisms.

These initiatives address mounting pressure from the European Union's Carbon Border Adjustment Mechanism, which took effect January 1, 2026, and imposes carbon tariffs on imports including cement and aluminium. Without decarbonization efforts, Indian exporters face potential price reductions of 15-22% to maintain competitiveness under the new trade rules. The timing coincides with India's planned Free Trade Agreement announcement with the EU, positioning decarbonization as critical for preserving export competitiveness and economic stability, particularly for smaller enterprises facing higher compliance costs.",1/27/26 5:31,5a,3
1/30/2026,https://www.newsdrum.in/business/india-makes-substantial-progress-in-establishing-carbon-market-framework-eco-survey-11040071,India Establishes Carbon Credit Trading Scheme Framework For Emissions Reduction,"India has advanced its carbon market infrastructure through the adoption of the Carbon Credit Trading Scheme in June 2023, which operates through dual mechanisms combining mandatory compliance and voluntary offset components. The compliance mechanism targets energy-intensive sectors including cement, iron and steel through an emission intensity-based system, where entities earning Carbon Credit Certificates can trade them on power exchanges while those exceeding targets must purchase equivalent credits. In 2025, the government notified greenhouse gas emission intensity targets for four additional sectors: aluminium, cement, Chlor-Alkali, and Pulp and Paper. The framework builds on existing infrastructure from the Perform, Achieve and Trade scheme while gradually transitioning toward a fully operational compliance carbon market.
 
 The voluntary offset mechanism allows non-obligated entities to register projects that reduce, remove, or avoid greenhouse gas emissions and earn tradable credits. The government has approved offset activities across ten sectors including energy, agriculture, waste management, forestry, transport, and carbon capture and storage. This dual-track approach reflects international carbon market design principles, with the Economic Survey noting that major economies including the European Union, Korea, and China have implemented comparable emissions trading systems demonstrating various implementation models and stages of market development.",1/29/2026 10:18,17c,3
28/1/2026,https://www.chinimandi.com/lanzatech-to-build-ethanol-plant-in-india/,LanzaTech Awarded Contract To Build Ethanol Facility In India Using Agricultural Waste,"LanzaTech Global has secured a contract from Spray Engineering Devices Ltd to construct a next-generation ethanol production facility in Uttar Pradesh, India, utilizing sugarcane bagasse as feedstock. The facility will process up to 300 tons of bagasse daily and produce sustainable fuels, chemicals, and biochar while operating under India's PM JI-VAN Yojana government program supporting advanced bioethanol production from agricultural waste.

The project represents part of the SED Smart Village framework, which aims to capture economic value from renewable energy and carbon resources by converting low-cost power into high-value products including aviation fuels and e-fuels. LanzaTech's bioreactor technology uses proprietary microbes to convert carbon-rich gases and green hydrogen into ethanol, diverting agricultural waste from burning while supporting circular economy principles and rural economic development in sugarcane-growing regions.",1/27/26 20:48,9a,4
29/1/2026,https://manufacturing.economictimes.indiatimes.com/news/energy/lanzatech-wins-sed-contract-for-bio-ethanol-plant-in-uttar-pradesh/127673651,LanzaTech Wins Contract to Build Bio-Ethanol Plant in Uttar Pradesh,"LanzaTech Global has been selected by Spray Engineering Devices Ltd to construct a carbon recycling facility in Uttar Pradesh that will convert sugarcane bagasse into ethanol and other fuels and chemicals. The project, part of SED's Smart Village initiative, will include a 24,000 tonnes per annum ethanol plant capable of processing up to 300 tonnes of bagasse daily and is expected to achieve approximately 19,200 tonnes of CO₂ equivalent annual abatement. The facility will represent the first in India to employ LanzaTech's technology for this specific application and is anticipated to begin operations within two years.

The plant will utilize syngas generated through oxygen-enriched air gasification of sugarcane bagasse, with LanzaTech's proprietary microbes converting carbon-rich gases into ethanol for use in sustainable aviation fuel and renewable diesel production. The project aligns with India's PM JI-VAN Yojana government programme supporting advanced bioethanol production and aims to reduce agricultural residue burning while generating nutrient-rich biochar for soil improvement. This development expands LanzaTech's operational presence in India, complementing its existing commercial-scale plant at Indian Oil Corporation's Panipat refinery.",1/28/26 4:38,15b,4
